Black Graduate Student Organization,,,,,,
Black Law Students Association,,,,,,
Black Public Relations Student Society,,,,,,
Black Student Assembly,,,,,,
Black Student Union,,,,,,
Black Women In Medicine,,,,,,
Black Women Leaders in Law,,,,,,
Blockchain Club,,,,,,
BLUE Missions,,,,,,
BlueScript,,,,,,
Bowling Club,,,,,,
Brazilian Student Association,,,,,,
Brazilian-Portuguese Club,,,,,,
Buddy Speech,,,,,,
Building Construction College Council,,,,,,
Business College Council,,,,,,
Business Leaders of Tomorrow,,,,,,
Camp Kesem,,,,,,
Campus Diplomats,,,,,,
Cancer Awareness and Prevention Network,,,,,,
Caribbean Law Students Association,,,,,,
Caribbean Students Association,,,,,,
Catholic Gator Coalition,,,,,,
Center for Undergraduate Research Board of Students,,,,,,
Central American Latin Organization,,,,,,
Century Tower Investments,,,,,,
"Changing Health, Attitudes, and Actions to Recreate Girls",,,,,,
Chemical Engineering Peer Advisors,,,,,,
Chi Alpha Christian Fellowship,,,,,,
Chi Epsilon,,,,,,
CHI OMEGA,,,,,,
CHI PHI,,,,,,
Chi Sigma Iota Beta chapter,,,,,,
Children Beyond Our Borders,,,,,,
Chinese American Student Association,,,,,,
Chinese Student Association,,,,,,
Chinese Students and Scholars Association,,,,,,
Chispas,,,,,,
Chomp,,,,,,
ChomPics Productions,,,,,,
Christian Pharmacist Fellowship International Jacksonville,,,,,,
Christian Pharmacists Fellowship International,,,,,,
Christian Pharmacists Fellowship International - Orlando Chapter,,,,,,
Christian Veterinary Fellowship,,,,,,
Christians On Campus,,,,,,
Circle K International,,,,,,
Circle of Women,,,,,,
Citrus Research and Education Center Graduate Student and Postdoctoral Organization,,,,,,
Climate Active Gator,,,,,,
Club Creole,,,,,,
Club Olas,,,,,,
Club Tennis,,,,,,
Collective for the Advancement of Minority Medical Scientists,,,,,,
College Democrats,,,,,,
College of Liberal Arts and Sciences Ambassadors,,,,,,
College of Liberal Arts and Sciences Student Council,,,,,,
College of Medicine Graduate Student Organization,,,,,,
College of Medicine Student Government Association,,,,,,
College of Pharmacy Graduate Student Council,,,,,,
College of Pharmacy Student Council - Gainesville,,,,,,
College Of Pharmacy Student Council - Jacksonville,,,,,,
College of Pharmacy Student Council - Orlando Campus,,,,,,
College Republicans,,,,,,
Collegiate Farm Bureau,,,,,,
Collegiate Veterans Society,,,,,,
Community Engagement Board,,,,,,
Community Health Service Corps,,,,,,
"Companion Animal, Behavior, and Dentistry Club",,,,,,
Competitive Cheerleading,,,,,,
Conservation Research & Epidemiology of Wildlife,,,,,,
CONSTRUCTION MANAGEMENT ASSOCIATION OF AMERICA,,,,,,
Corry Cricket Club,,,,,,
Creative Future Leaders,,,,,,
Creative Practice,,,,,,
Credit Club,,,,,,
Criminology and Law Honor Society,,,,,,
Critical Theory Reading Group,,,,,,
Crohn’s and Colitis Student Initiative,,,,,,
CRU,,,,,,
Cuban American Student Association,,,,,,
Culinary Arts Student Union,,,,,,
Cuong Nhu Martial Arts Cypress Dojo,,,,,,
Cupcakes For a Cure,,,,,,
CyberGator,,,,,,
Dairy Science Club,,,,,,
Dance in a Suitcase,,,,,,
Dance Marathon,,,,,,
Dancin' Gator,,,,,,
Danza Dance Company,,,,,,
Data Science and Informatics,,,,,,
DayDream Magazine,,,,,,
DCP Ambassadors,,,,,,
DCP Graduate Student Association,,,,,,
Delight,,,,,,
DELTA CHI,,,,,,
DELTA DELTA DELTA,,,,,,
Delta Delta Sigma,,,,,,
DELTA EPSILON PSI,,,,,,
DELTA GAMMA,,,,,,
Delta Nu Zeta -Beta Chapter,,,,,,
DELTA PHI EPSILON,,,,,,
DELTA PHI OMEGA,,,,,,
DELTA SIGMA PHI,,,,,,
Delta Sigma Pi,,,,,,
DELTA SIGMA THETA,,,,,,
DELTA TAU DELTA,,,,,,
DELTA UPSILON,,,,,,
DELTA ZETA,,,,,,
Democracy Matters,,,,,,
Dental Ambassadors,,,,,,
Deutschklub,,,,,,
Developer Student Club,,,,,,
Digital Arts Media Network,,,,,,
Disability Ambassadors,,,,,,
Disability Law Association,,,,,,
Disney Fan Club,,,,,,
Distinguished Minorities in Dentistry Mentorship Program,,,,,,
Diversity Affirmations and Awareness Committee,,,,,,
"Diversity Ambassadors of College of Design, Construction and Planning (DCP)",,,,,,
Diversity in Banking & Securities,,,,,,
Doctor of Plant Medicine Student Organization,,,,,,
Dominican Student Association,,,,,,
Dostana,,,,,,
Doulos,,,,,,
Down to Dance,,,,,,
Dream Team,,,,,,
Dream Team Engineering,,,,,,
DreamWave Productions,,,,,,
Early Childhood and Special Education Association of Doctoral Students,,,,,,
ECE Graduate Student Organization,,,,,,
Ecuadorian Culture and Heritage Association,,,,,,
Education College Council,,,,,,
Effective Altruism Florida,,,,,,
Emergency Medicine Student Association,,,,,,
Emerging Leaders in Science Policy and Advocacy,,,,,,
Employer Relations Ambassadors,,,,,,
Empowered Female Health Organization,,,,,,
EMPRESS,,,,,,
Enactus Club,,,,,,
Engineering Ambassadors,,,,,,
Engineering Graduate Student Council,,,,,,
Engineers Without Borders,,,,,,
English Graduate Organization,,,,,,
English Society,,,,,,
Entertainment & Sports Law Society,,,,,,
Entrepreneurship Collective,,,,,,
ENVIRONMENTAL AND LAND USE LAW SOCIETY,,,,,,
Environmental Horticulture Club,,,,,,
Environmental Horticulture Graduate Student Association,,,,,,
EpiscoGator,,,,,,
Epsilon Lambda Chi,,,,,,
Epsilon Pi Phi Gator Chapter,,,,,,
Epsilon Sigma Alpha Service Fraternity,,,,,,
Equal Access Clinic Network,,,,,,
"Equity, Diversity, and Inclusion in Sustainability",,,,,,
Eta Kappa Nu,,,,,,
Eta Sigma Gamma,,,,,,
Eta Sigma Phi,,,,,,
Ethnoecology Society,,,,,,
European Union Club,,,,,,
Everglades Research and Education Center Student Association,,,,,,
Exotic Animal Club,,,,,,
Extreme Dance Company,,,,,,
F.E.M. Films,,,,,,
"FACES Modeling Troupe, Inc.",,,,,,
Family Youth and Community Sciences Chapter of Kappa Omicron Nu,,,,,,
"Family, Youth and Community Sciences Graduate Association",,,,,,
"Family, Youth, and Community Sciences Club",,,,,,
Federalist Society,,,,,,
Fellows of Chemical Biology,,,,,,
Fellowship of Christian Athletes,,,,,,
Field Hockey,,,,,,
Filipino Student Association,,,,,,
Fine Arts College Council,,,,,,
First Generation Leadership Program,,,,,,
First Generation Organization,,,,,,
First in Medicine,,,,,,
First Responder Gator,,,,,,
First-Generation Lawyers,,,,,,
First-Year Leadership Program,,,,,,
Fisher School of Accounting Council,,,,,,
Fisheries and Aquatic Sciences Graduate Student Organization,,,,,,
Florida Actuarial Student Society,,,,,,
Florida Anthropology Student Association,,,,,,
Florida Aquaculture and Aquarium Club,,,,,,
Florida Blue Key,,,,,,
Florida Business Leadership Society,,,,,,
Florida Cicerones,,,,,,
Florida Club Gymnastics,,,,,,
Florida Club Rowing,,,,,,
Florida Club Softball,,,,,,
Florida Club Swim Team,,,,,,
Florida Club Synchronized Swimming,,,,,,
Florida Cryptocurrency and Alternative Assets Club,,,,,,
Florida Empower,,,,,,
Florida Engineering Society,,,,,,
Florida Equestrian Club & Teams,,,,,,
Florida Eta Phi Delta Epsilon,,,,,,
Florida Fencing,,,,,,
Florida Gator Baseball Club,,,,,,
Florida Greek Life Engineers,,,,,,
Florida Innocence Initiative,,,,,,
Florida International Society of Pharmacoepidemiology (ISPE) Student Chapter,,,,,,
Florida Invitational Step Show,,,,,,
Florida Law Softball,,,,,,
Florida Magazine Student Association,,,,,,
Florida Museum Student Association,,,,,,
Florida Not One More,,,,,,
Florida Paintball Team,,,,,,
Florida Players,,,,,,
Florida Political Review,,,,,,
Florida Quidditch,,,,,,
Florida Running Club,,,,,,
Florida Society of Health-System Pharmacists-Student Division Jacksonville,,,,,,
Florida Society of the Social Sciences,,,,,,
Florida Student Branch of the American Society of Agricultural and Biological Engineers,,,,,,
Florida Students for Lifestyle Medicine,,,,,,
Florida Swing Dancing Club,,,,,,
Florida TrailGator,,,,,,
Florida Women in Business,,,,,,
Floridance,,,,,,
Food Animal Club (SCAABP),,,,,,
Food Recovery Network,,,,,,
Food Science and Human Nutrition Club,,,,,,
Footprints Buddy and Support Program,,,,,,
Forensic Science Association,,,,,,
Forestry Graduate Student Organization,,,,,,
Formula Electric,,,,,,
French Club: le cercle francais,,,,,,
Freshman Leadership Council,,,,,,
Freshman Leadership Engineering Group,,,,,,
Friends for Life of America,,,,,,
Friends of MSF Gainesville Chapter,,,,,,
Future Black Men in Medicine,,,,,,
Future Business Leaders of America - Phi Beta Lambda,,,,,,
Future Florida Neurosurgeons,,,,,,
Gainesville For All Chapter,,,,,,
Gainesville Hillel,,,,,,
Gainesville Political Action Committee,,,,,,
Game Developers' Association,,,,,,
GAMMA ETA,,,,,,
GAMMA PHI BETA,,,,,,
Gastro Student Association,,,,,,
Gator Against Poverty,,,,,,
Gator Alliance for World Health,,,,,,
Gator Amateur Radio Club,,,,,,
Gator Anime,,,,,,
Gator Badminton Club,,,,,,
Gator BassMasters,,,,,,
Gator Beach Volleyball,,,,,,
Gator Bhangra,,,,,,
Gator Billiards Club,,,,,,
Gator Brazilian Jiu Jitsu,,,,,,
Gator Chapter of the American Indian Science and Engineering Society,,,,,,
Gator Chapter of the College Diabetes Network,,,,,,
Gator Chapter of the National Society of Black Physicists,,,,,,
Gator Chess Club,,,,,,
Gator Christian Life,,,,,,
Gator Coalition of Occupational Therapy Advocates for Diversity Chapter,,,,,,
Gator Comics,,,,,,
Gator Cricket Club,,,,,,
Gator Criminology Syndicate,,,,,,
Gator Disc Golf,,,,,,
Gator Esports,,,,,,
Gator for Haven Hospice,,,,,,
Gator for MUSIC (Music Instruction in the Community),,,,,,
Gator for ReadingPals,,,,,,
Gator for Refugee Medical Relief,,,,,,
Gator for UNICEF,,,,,,
Gator Gaming,,,,,,
Gator Genetics,,,,,,
Gator Gladiators,,,,,,
Gator Guard Drill Team,,,,,,
Gator Humans versus Zombies,,,,,,
Gator Judo,,,,,,
Gator Juggling Club,,,,,,
Gator Law American Civil Liberties Union,,,,,,
Gator Major-4-Major Mentorship Program,,,,,,
Gator McKnights Unite,,,,,,
Gator Music Industry Club,,,,,,
Gator Muslim Law Students Association,,,,,,
Gator of Tomorrow,,,,,,
Gator Outreach Mentorship Program,,,,,,
Gator Pals,,,,,,
Gator Pharmacy Wellness - Gainesville,,,,,,
Gator Pharmacy Wellness - Jacksonville Campus,,,,,,
Gator Pickleball,,,,,,
Gator Powerlifting,,,,,,
Gator Pre-medical Guide,,,,,,
Gator Resonance,,,,,,
Gator Robotics,,,,,,
Gator Roller Derby,,,,,,
Gator Safety Professionals,,,,,,
Gator Salsa Club,,,,,,
Gator Society for Pre-Law Women,,,,,,
Gator Spikes Roundnet Club,,,,,,
Gator Sport Management Organzation,,,,,,
Gator Star Wars,,,,,,
Gator Strong Families,,,,,,
Gator Table Tennis Association,,,,,,
Gator UX,,,,,,
Gator Wealth and Asset Management,,,,,,
Gator Wesley Foundation,,,,,,
GatoRaas,,,,,,
GatorCore,,,,,,
GatorDays,,,,,,
Gatorloop,,,,,,
GatorMDA,,,,,,
GatorSavers,,,,,,
Gatortech,,,,,,
Generation Action,,,,,,
Generation Sketch Comedy,,,,,,
Generational Relief in Prosthetics,,,,,,
Genetic Counseling Club,,,,,,
Gestalt A Cappella,,,,,,
Girls Who Code at Gainesville,,,,,,
GlamourGals Gainesville,,,,,,
Global Brigades Public Health,,,,,,
Global Business Brigades,,,,,,
Global Business Society,,,,,,
Global Connections,,,,,,
Global Dental Brigades,,,,,,
Global Engineering Brigades,,,,,,
Global Legal Empowerment Brigades,,,,,,
Global Medical Brigades,,,,,,
Global Medical Missions Alliance,,,,,,
Global Medical Training,,,,,,
Global Water Brigades,,,,,,
Golden Key International Honour Society,,,,,,
Golf Club,,,,,,
GradCru,,,,,,
Graduate Christian Fellowship,,,,,,
Graduate Comics Organization,,,,,,
Graduate Film Studies Group,,,,,,
Graduate National Student Speech Language and Hearing Association,,,,,,
Graduate Society of Women Engineers,,,,,,
Graduate Student Council,,,,,,
Graduate Students in Mass Communication Association,,,,,,
Graham Center Student Fellows,,,,,,
GREBE Audubon Campus Chapter,,,,,,
Green Building Club,,,,,,
Green Greeks Florida,,,,,,
Green STEM,,,,,,
Greenhouse College,,,,,,
Handbuilt or Thrown Clay,,,,,,
Health Administration Student Association,,,,,,
Health Advocacy and Promotion Initiative,,,,,,
"Health and Education through Research, Outreach, Empowerment, and Service",,,,,,
Health and Human Performance Graduate School Organization,,,,,,
Health Educated Asian Leaders,,,,,,
Health Education and Literacy Organization,,,,,,
Health Occupations Students of America-Future Health Professionals,,,,,,
Health Outcomes and Biomedical Informatics Student Organization,,,,,,
HEALTH PROFESSIONS COLLEGE COUNCIL,,,,,,
Health Science Student Organization,,,,,,
Hearts for the Homeless Gainesville,,,,,,
Her Campus,,,,,,
Here's to Her,,,,,,
Hindu Students Council,,,,,,
Hip-Hop Collective,,,,,,
Hispanic and Latinos in Electrical and Computer Engineering,,,,,,
Hispanic Communicators Association,,,,,,
Hispanic Finance Association,,,,,,
Hispanic Public Relations Student Association,,,,,,
Hispanic Student Association,,,,,,
Hispanic Student Culture Organization,,,,,,
Hispanic Student Dental Association,,,,,,
History Graduate Society,,,,,,
Holocaust Remembrance Month,,,,,,
Hooked to the Book Club,,,,,,
HOOPZ,,,,,,
HOPE Ministries,,,,,,
Horticultural Sciences Student Club,,,,,,
Hospitaliteam,,,,,,
Human Factors and Ergonomics Society Student Chapter,,,,,,
Hungarian Club,,,,,,
IGNITE: Political power In Every Young Woman,,,,,,
Immigration Law Association,,,,,,
IMPACT Autism,,,,,,
Indian Graduate Student Association,,,,,,
Indian Students Association,,,,,,
Industrial / Organizational Psychology Club,,,,,,
Industrial and Systems Engineering Ambassadors,,,,,,
Industrial and Systems Engineering Graduate Student Organization,,,,,,
Industry Pharmacists Organization Orlando Student Chapter,,,,,,
InnoGator,,,,,,
Innovation Academy Ambassadors,,,,,,
Institute of Electrical and Electronics Engineers,,,,,,
Institute of Industrial & Systems Engineers,,,,,,
Institute of Transportation Engineers,,,,,,
Intel Club,,,,,,
Intellectual Property and Technology Law Association,,,,,,
Intercollegiate Studies Institute,,,,,,
Interfraternity Council,,,,,,
International Bridge Fellowship,,,,,,
International Engineering Ambassadors,,,,,,
International Mentorship Association,,,,,,
International Society for Pharmacoeconomics and Outcomes Research (ISPOR) Student Chapter,,,,,,
International Tuba Euphonium Association,,,,,,
Inter-Professional Healthcare Coalition Orlando,,,,,,
Inter-Residence Hall Association,,,,,,
IoT Students Club,,,,,,
Iota Alpha,,,,,,
Iranian Students Association,,,,,,
ISAPhysicians,,,,,,
Islam Appreciation Month Committee,,,,,,
Islam on Campus,,,,,,
Italian Student Association,,,,,,
J Street U,,,,,,
Jamaican-American Student Association,,,,,,
Japanese Club,,,,,,
Japanese Student Association,,,,,,
Jewish Law Students Association,,,,,,
Jewish Student Union,,,,,,
JHealth,,,,,,
John Marshall Bar Association,,,,,,
John Quincy Adams Society,,,,,,
Journalism and Communications Ambassadors,,,,,,
JTech,,,,,,
Just for Kidz,,,,,,
KAPPA ALPHA ORDER,,,,,,
KAPPA ALPHA PSI,,,,,,
KAPPA ALPHA THETA,,,,,,
KAPPA DELTA,,,,,,
Kappa Delta Pi,,,,,,
Kappa Epsilon Beta Alpha Chapter - Jacksonville,,,,,,
Kappa Epsilon: Kappa Chapter,,,,,,
KAPPA KAPPA GAMMA,,,,,,
Kappa Kappa Psi,,,,,,
KAPPA PHI EPSILON,,,,,,
KAPPA PHI LAMBDA,,,,,,
Kappa Psi - Epsilon Mu - Orlando,,,,,,
Kappa Psi - Zeta Gamma Chapter Jacksonville,,,,,,
"Kappa Psi Pharmaceutical Fraternity, Inc. Gamma Sigma Chapter",,,,,,
KAPPA SIGMA,,,,,,
Kickboxing Club,,,,,,
Knitting Gator,,,,,,
Korean Student Association,,,,,,
Korean Undergraduate Student Association,,,,,,
Kulanu,,,,,,
LADIES,,,,,,
LAMBDA CHI ALPHA,,,,,,
LAMBDA THETA ALPHA,,,,,,
LAMBDA THETA PHI,,,,,,
Latin American Women in Business,,,,,,
Latino Law Student Association,,,,,,
Latino Medical Student Association (Undergraduate Chapter),,,,,,
Latter-Day Saints Student Association,,,,,,
Law Association for Women,,,,,,
Law College Council,,,,,,
Leadership Development Institute,,,,,,
Lebanese American Society,,,,,,
LIFE on Campus,,,,,,
Liquid Propulsion Development Team,,,,,,
Living Poet's Society,,,,,,
Love146 Gainesville Volunteer Team,,,,,,
Lubavitch Chabad Student Group,,,,,,
Lucha Latina,,,,,,
Lutheran Student Fellowship of Gainesville,,,,,,
Magic the Gatoring,,,,,,
ManUDex,,,,,,
March For Our Lives Gainesville,,,,,,
March of Dimes Collegiate Council,,,,,,
Marine Biology Club,,,,,,
Marksmanship Club,,,,,,
Masters in Business Administration Association,,,,,,
Material Advantage,,,,,,
Mayors' Council,,,,,,
MCC Physician Assistant Student Association,,,,,,
MCS Graduate Assistant Organization,,,,,,
Medical College Council,,,,,,
"Medicine, Education, Development for Low Income Families Everywhere",,,,,,
MediSports - Sports Medicine Society,,,,,,
Meditation Club,,,,,,
Men's Ice Hockey,,,,,,
Men's Lacrosse,,,,,,
Men's Rugby Club,,,,,,
Men's Soccer,,,,,,
Men's Ultimate Frisbee Club Team,,,,,,
Men's Volleyball,,,,,,
Men's Water Polo,,,,,,
Mental Health Support for Pre-Health Students,,,,,,
MentorGNV,,,,,,
Mexican-American Student Association,,,,,,
Mexicans in Gainesville Student Association,,,,,,
"Minorities in Agriculture, Natural Resources, and the Related Sciences",,,,,,
Minority Health Professional Mentorship Program,,,,,,
Minority Pre-Legal Society,,,,,,
Minority Pre-Veterinary Students,,,,,,
Mock Trial Team,,,,,,
Model United Nations,,,,,,
MTNA Collegiate Chapter,,,,,,
Multicultural Association of Pre-Health Students,,,,,,
MultiCultural Collective,,,,,,
MULTICULTURAL GREEK COUNCIL,,,,,,
MURPH Club,,,,,,
Music for Health Ensemble,,,,,,
Music Meets Medicine,,,,,,
Myndset,,,,,,
Nanoscience and Nanotechnology Student Council,,,,,,
National Alliance on Mental Illness: A Helping Hand,,,,,,
National Association for Music Education,,,,,,
National Association of Hispanic Journalists,,,,,,
National Association of Women in Construction,,,,,,
National Community Pharmacists Association,,,,,,
National Lawyers Guild,,,,,,
National Lesbian & Gay Journalists Association,,,,,,
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,,,,,,
National Organization for Women,,,,,,
National Organization of Minority Architecture Students,,,,,,
NATIONAL PAN-HELLENIC COUNCIL,,,,,,
National Residence Hall Honorary,,,,,,
National Society of Black Engineers,,,,,,
National Society of Collegiate Scholars,,,,,,
National Society of Leadership and Success,,,,,,
National Student Speech Language and Hearing Association,,,,,,
Natural Resource Diversity Initiative,,,,,,
Navy-Marine Student Association,,,,,,
Nepalese Student Association,,,,,,
Network of Enlightened Women at Florida,,,,,,
North Florida Research and Education Center Students Association,,,,,,
Nuclear Music,,,,,,
Nurses Leading Change,,,,,,
Nursing College Council,,,,,,
Off Campus Ambassadors,,,,,,
Olami Jbiz,,,,,,
Olympic Style Taekwondo,,,,,,
Omega Phi Alpha National Service Sorority,,,,,,
OMEGA PSI PHI,,,,,,
One Health Student Association,,,,,,
One Love,,,,,,
Orange & Blue Archery,,,,,,
Orange and Blue PIpe Band,,,,,,
Order of Omega,,,,,,
Organic and Sustainable Agriculture Club,,,,,,
Organización de Estudiantes Graduados de Español,,,,,,
Organization for Graduate Student Advancement and Professional Development,,,,,,
Orthodox Christian Campus Ministries,,,,,,
Orthodox Christian Fellowship,,,,,,
Orthopedic and Athletic Medicine,,,,,,
Our Art Collective,,,,,,
"Out in Science, Technology, Engineering, and Mathematics",,,,,,
Out of Stater Gator,,,,,,
Outdoor Adventure Recreation,,,,,,
OUTdoors,,,,,,
OutLaw - Law LGBT Organization,,,,,,
PA Surgery Club,,,,,,
PaCE Student Organization,,,,,,
Packaging Club,,,,,,
Pair-a-Dice Gaming,,,,,,
Pakistani Students' Association,,,,,,
Panhellenic Council,,,,,,
Partners In Health Engage,,,,,,
Pathology Club,,,,,,
Pazeni Sauti Africa Choir,,,,,,
PediaGator,,,,,,
PediaGator Jacksonville,,,,,,
PediaGator Orlando,,,,,,
Pediatrics Interest Group,,,,,,
People for Animal Wellness,,,,,,
People4Tomorrow,,,,,,
Period Movement,,,,,,
Personal Finance Club,,,,,,
Peruvian American Student Society,,,,,,
Phi Alpha Delta Pre-Law,,,,,,
PHI BETA SIGMA,,,,,,
Phi Delta Chi- Delta Delta Chapter,,,,,,
PHI DELTA THETA,,,,,,
Phi Epsilon Kappa,,,,,,
Phi Eta Sigma National Honor Society,,,,,,
PHI KAPPA TAU,,,,,,
"Phi Lambda Sigma Pharmacy Leadership Society, Iota Chapter",,,,,,
PHI MU,,,,,,
Phi Sigma Pi,,,,,,
Phi Sigma Rho,,,,,,
Phoebe Louise Dooley Student Organization,,,,,,
Phone a Friend,,,,,,
PI BETA PHI,,,,,,
PI DELTA PSI,,,,,,
PI KAPPA ALPHA,,,,,,
PI KAPPA PHI,,,,,,
PI LAMBDA PHI,,,,,,
Pi Sigma Alpha,,,,,,
Pi Sigma Epsilon,,,,,,
Pi Tau Sigma,,,,,,
Pipe Organ Enthusiasts,,,,,,
Plant Pathology Graduate Student Organization,,,,,,
Plant Science Council,,,,,,
Polish Student Association,,,,,,
Political Science Graduate Student Council,,,,,,
PorColombia,,,,,,
Power and Energy Club,,,,,,
Pre-Dental American Student Dental Association (ASDA),,,,,,
Pre-Dental Society,,,,,,
Pre-Legal Honor Society,,,,,,
Premed American Medical Student Association,,,,,,
Pre-Optometry Pupils,,,,,,
Pre-Pharmacy Society,,,,,,
Pre-Physician Assistant Association,,,,,,
Pre-Professional Academic Review Club,,,,,,
Pre-Professional Service Organization,,,,,,
Pre-Veterinary Medicine Club,,,,,,
Pride Student Union,,,,,,
Primary Care Progress,,,,,,
Pro Bono Service Initiative,,,,,,
Progressive Black Men Inc.,,,,,,
Project HEAL (Veterinary Division),,,,,,
Project Makeover,,,,,,
Psychology Club,,,,,,
Psychology Graduate Student Organization,,,,,,
Public Health Student Association,,,,,,
Public Interest Communications Student Association,,,,,,
Public Interest Environmental Conference (PIEC),,,,,,
Public Leadership Society,,,,,,
Public Relations Student Society of America,,,,,,
Puppy Club,,,,,,
Qualitative Research Student Organization,,,,,,
Quiz Bowl,,,,,,
Real Estate Law Association,,,,,,
Red Cross Gator,,,,,,
Reformed University Fellowship,,,,,,
Relay For Life,,,,,,
