name,purpose,category,website
Competitive Cheerleading,"University of Florida Club Cheerleading is established for the purpose of providing the opportunity to individuals who wish to participate and continue competitive cheerleading during their collegiate years. UFCC strives to provide leadership and development skills, encouragement of community service, and positive representation at the University of Florida in cheerleading appearances and competitions within the United States. In addition UFCC purpose gives the opportunity for individuals to establish positive relationships, practice teamwork and motivation as an extension to their athletic interest.",Sport Clubs,N/A
Conservation Research & Epidemiology of Wildlife,To encourage veterinary student involvement in the field of wildlife health through conservation medicine and provide an additional opportunity for its associates to gain professional knowledge in this field,Social and Global Change,N/A
CONSTRUCTION MANAGEMENT ASSOCIATION OF AMERICA,"The Construction Management Association of America's purpose, through the help of leading industry professionals, student mentors, and educators, is to teach its members about the diverse field of construction, and in the process, create a community of high achieving individuals who are focused on learning, developing professionally, and creating meaningful relationships.","Design/Construction/Planning, Professional/Career",N/A
Corry Cricket Club,To enjoy the game of cricket ; Avenue for social connection through the shared love for this sport.,Recreation,N/A
Creative Future Leaders,"Creative Future Leaders is established for the purpose of developing leadership skills, diversifying skill sets, and getting to learn more about other academic pathways.",Special Interests,N/A
Creative Practice,"Creative Practice is a group composed of medical students and faculty who believe that artistic expression is a vital part of medical education. Our purpose is to promote artistic expression in any number of ways among students and faculty as a means of enriching our lives and those of the patients that we help care for. We believe that art and creative expression should be included among the many credentials of a doctor. Creative Practice tries to highlight and encourage the continued creative expression of medical students. This expression can come in a wide variety of ways such as dancing, playing musical instruments or just making funny youtube videos. The goal of this club is to provide opportunities for students to practice art that may have otherwise be neglected in their busy lives.",Fine Arts,N/A
Credit Club,"The purpose of the Credit Club is to promote financial literacy through the training of effective decision making in credit-related circumstances. Included in this pedagogy is the understanding of credit score, inquiries, debt, credit-cards, and travel rewards, in promotion of effective finance management.",Special Interests,N/A
Criminology and Law Honor Society,"The Criminology and Law Honor Society is an organization aimed at orienting undergraduate students to a variety of Legal and Law Enforcement professions and agencies, as well as entrance into law school and graduate school, and social encouragement amongst its members and expanding networks.","Law, Professional/Career",N/A
Critical Theory Reading Group,"The critical theory reading group is an organization for graduate students to supplement their research with additional theory studies. We have monthly meetings in which we read 1-2 theory articles and discuss their arguments, implications, and applications to current events and our own individualized research.","Political Interests, Special Interests",N/A
Crohn's and Colitis Student Initiative,"The Crohn's and Colitis Student Initiative (CCSI) is a support group made to serve college students with Inflammatory Bowel Disease. Inflammatory Bowel Disease consists of Crohn's Disease and Ulcerative Colitis and can be extremely hard to navigate throughout college. That is why this support group would serve as a place of solace for these students and allow them to express concerns with those suffering the same challenges as them. IBD is an invisible disease, meaning it is not apparent from the outside. These students with these diseases not only have to deal with the transition to a new school, but also how to manage their complicated disease at this school. Creating a group of individuals who understand exactly what they are going through can truly allow them to integrate themselves effectively at the University of Florida. They could either sit and listen to other students and how they manage their disease at school or share experiences that they need advice on/could potentially help others. College students with IBD are an at risk population so we hope to provide help in order to better manage their disease at school and improve their college experience.",Special Interests,N/A
CRU,"Our goal is for students to encounter, experience, and express the compelling love of Christ.",Religious/Spiritual,N/A
Cuban American Student Association,"The purpose of this organization is to share and spread Cuban culture, its beauty, strength, and values on campus and in Gainesville through social outreach and events; to provide a sense of family for the Cuban community on campus and beyond by establishing a network through which cultural exchange and appreciation are promoted and cherished, and opportunities and ideas are spread; to educate the student body on issues affecting Cubans, Cuban Exiles, and the Hispanic-Latino community at large by creating a space for open dialogue and debate; and to advocate for civic, political, and social change and initiatives that positively impact Cuba, Cuban Exiles, all Latinos, and the United States.",Cultural,N/A
Culinary Arts Student Union,"The Culinary Arts Student Union is dedicated to providing innovative events that educate students on culinary techniques and the sociology of food. We aim to strengthen and nourish the UF community by creating space where members can practice wellness, get creative, and better themselves as leaders.","Fine Arts, Special Interests",N/A
Cuong Nhu Martial Arts Cypress Dojo,"Cuong Nhu is established for the purpose of developing leadership skills, self-confidence, self-control, modesty, and a non-defeatist attitude. https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs","Recreation, Sport Clubs",https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs
Cupcakes For a Cure,The purpose of this organization is to raise awareness and funds for the Pediatric Unit at UF Health Shands Hospital. We raise our funds through various fundraisers and donations and provide members with many volunteering events to engage with others in the community around us. We are a smaller organization that strives to make all members feel included and provide opportunities for everyone from all backgrounds.,Community/Volunteer Service,N/A
CyberGator,"CyberGatorz, a student organization affiliated with the University of Florida and the Florida Institute for Cybersecurity (FICS) Research, seeks to advance the field of cybersecurity through bringing together passionate future cybersecurity experts. Each student offers a unique perspective, building a diverse and well-rounded academic environment. CyberGatorz encompasses all areas of information and hardware security, from security of nanoelectronic devices, to integrated circuits and systems security, theoretical algorithms to internet-of-things, and larger cyber physical systems. CyberGatorz also hosts their Orange & Blue cHat series which aims to bring thoughtful discussion and inspire new students by bringing a resident expert to lead a relevant topic. We hope to offer other educational benefits such as tutorials, and certificates within the nation's premier multidisciplinary cybersecurity research institute. Most importantly, every CyberGator believes in fostering positive relationships with peers, mentors, industry experts, and future generations of STEM experts.",Engineering,N/A
Dairy Science Club,"The Dairy Science Club (DSC) promotes involvement in the dairy industry at the local, regional, and national levels, allowing students to make connections to peers and industry representatives. Members have opportunities to attend and present at conferences, participate in intercollegiate competitions, attend farm tours with experts in the field, and promote a positive public perception of the dairy industry through community outreach and volunteerism.",Agricultural and Life Sciences,N/A
Dance in a Suitcase,"Dance in a Suitcase works to support dance majors, fund professional guest artist residencies, coordinate social events within the dance department, and connect UF dancers to the greater UF and Gainesville communities.",Fine Arts,N/A
Dance Marathon,"Dance Marathon strives to bring together the campus and community to raise funds and awareness for the kids at UF Health Shands Children's Hospital, our local Children's Miracle Network Hospital.",Community/Volunteer Service,N/A
Dancin' Gator,"Dancin' Gator is a unique dance team. We do not have auditions, and as a result, we have dancers of all levels, ranging from beginners to advanced performers. The purpose of our organization is to bring dancers of all levels together in an effort to maintain their passion for the performing arts. We hold weekly dance practices in preparation for an end of the semester performance. Dancers are also involved in choreographing routines and teaching dance steps to their fellow peers. Socials and fundraising events are also held each semester. Some of the different types of dances that we showcase include: hip hop, contemporary, tap, lyrical, salsa, step, kickline, jazz, Irish, Indian, etc.",Fine Arts,N/A
Danza Dance Company,"Danza Dance Company is a premiere student run organization at the University of Florida that focuses on allowing its members to express their talents in a positive, caring, and supportive environment. Members take weekly classes and are encouraged to step out of their comfort zone and explore new styles. Danza has shows each semester that all the members can choreograph for and perform in. The company also performs at other events on and off campus. Danza was created with the intent to allow college students to continue their passion for dance while finding their niche in such a large and incredible university and has done just that for over 20 years.",Fine Arts,N/A
Data Science and Informatics,"Data Science and Informatics Student Organization at UF connects students across academic programs by initiating group learning through technical workshops, speaker sessions, discussion groups and other activities.","Engineering, Professional/Career",N/A
DayDream Magazine,"Daydream Magazine strives to serve as an artistic and literary platform for unstaged voices and underrepresented figures in multimedia. Through inclusive aspects of background and experience, we hope to curate a diverse representation of what it means to be beautiful. As we work together to blur the line between daydream and every day, fact and fiction, we intend to move toward the reality of a world that recognizes, celebrates, and cherishes our differences. We aim to create the DayDream Magazine as a collaborative effort with the community and the environment, reaching out to the people who make up the surrounding community and producing this magazine on a digital electronic magazine platform.","Media/Publication, Special Interests",N/A
DCP Ambassadors,DCP Ambassadors are a select group of students in the college who have demonstrated outstanding academic success and leadership. Their objective is to generate interest and knowledge about the college.,"Design/Construction/Planning, Ambassador",N/A
DCP Graduate Student Association,"To be a unified voice for the DCP graduate student, and to promote interdisciplinary academic and professional advancement within the college.",Design/Construction/Planning,N/A
Delight,"The primary activity of Delight is to launch, grow, and sustain Christ-centered women's communities at college campuses across the country. Our mission is to invite college women into Christ-centered community that fosters vulnerability and transforms stories.",Religious/Spiritual,N/A
DELTA CHI,"To promote friendship, develop character, advance justice, and assist in the acquisition of a sound education.",Interfraternity Council ,N/A
DELTA DELTA DELTA,"Delta Delta Delta's Purpose shall be to establish a perpetual bond of friendship among its members, to develop a stronger and more womanly character, to broaden the moral and intellectual life, and to assist its members in every possible way.",Panhellenic Council,N/A
Delta Delta Sigma,"The mission of Delta Delta Sigma is to introduce students to the dental profession and provide a helpful environment for success in their pre-dental academics. The academic road to dental school is very difficult. Delta Delta Sigma's goal is to make that journey as attainable and easy as possible. By building a community of students with similar interests, we can work together and all achieve our goals by serving the community and inspiring altruism.",Dentistry,N/A
DELTA EPSILON PSI,"We the brothers of Delta Epsilon Psi vow to be a fraternity whose primary purpose is to instill Brotherhood, Discipline, and Commitment within its members through various social and service driven endeavors.",Multicultural Greek Council,N/A
DELTA GAMMA,"The objects of this Fraternity shall be to foster high ideals of friendship among women, to promote their educational and cultural interests, to create in them a true sense of social responsibility, and to develop in them the best qualities of character.",Panhellenic Council,N/A
Delta Nu Zeta -Beta Chapter,Delta Nu Zeta functions as a social and service-oriented sorority that strives to bring out the best in its members and to promote the welfare of the community.,Special Interests,N/A
DELTA PHI EPSILON,"We are an organization that strives to be the exemplary model of justice, sisterhood, and love. We support each other in our internal successes as well as our external endeavors throughout campus. We focus on giving back to the community, Anorexia Nervosa and Associated Disorders (ANA D) and the Cystic Fibrosis Foundation specifically, through various philanthropic events and fundraisers. Our everlasting motto is ""esse quam videri""--to be, rather than to seem to be; we pride ourselves...",Panhellenic Council,N/A
DELTA PHI OMEGA,"We are an organization that strives to be the exemplary model of justice, sisterhood, and love. We support each other in our internal successes as well as our external endeavors throughout campus. We focus on giving back to the community, Anorexia Nervosa and Associated Disorders (ANAD) and the Cystic Fibrosis Foundation specifically, through various philanthropic events and fundraisers. Our everlasting motto is ""esse quam videri""--to be, rather than to seem to be; we pride ourselves on this motto by implementing it in all facets of our members and our chapter as a whole.",Multicultural Greek Council,N/A
DELTA SIGMA PHI,Delta Sigma Phi is a fraternity dedicated to creating a positive environment to develop the atypical man. Beta Zeta strives to develop the better man through the improvement of the community and commitment to the University.,Interfraternity Council ,N/A
Delta Sigma Pi,"Delta Sigma Pi is a Professional Fraternity organized to foster the study of business in universities; to encourage scholarship, social activity, and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce, and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community.",Business,N/A
DELTA SIGMA THETA,"Delta Sigma Theta Sorority, Inc. is an organization of college educated women committed to the constructive development of its members and to public service with a primary focus on the black community.",National Pan-Hellenic Council,N/A
DELTA TAU DELTA,"Membership in Delta Tau Delta offers a lifelong bond with a community of Gentlemen committed to scholastic excellence and involvement in all facets of leadership on this campus and in life. Delt rewards its members with countless opportunities unavailable to the average college man, and also proudly counts several hundred thousand men of distinction in national politics, Fortune 500 businesses, academia, and various other areas as its alumni.",Interfraternity Council ,N/A
DELTA UPSILON,Building Better Men,Interfraternity Council ,N/A
DELTA ZETA,"It was the founding of Delta Zeta Sorority, whose purpose is to create among a group of women a true and lasting friendship, to encourage one another in the pursuit of knowledge, to promote values-based living, and to embrace social responsibility.",Panhellenic Council,N/A
Democracy Matters,"Democracy Matters is a non-partisan organization concerned about political accountability and the corrupting influence of private money in American government. We hope to educate others and ourselves about present infringements upon democracy, political equality, and government transparency, and the possible alternatives that may help reform and revitalize our political process. Along with education, we work to deepen democracy by presenting members with opportunities to push for campaign finance and lobbying reform, election reform, and increased political participation of the American People, however they see fit.",Political Interests,N/A
Dental Ambassadors,Dental Ambassadors is established for the purpose of serving as official student representatives for the University of Florida College of Dentistry at college and alumni events and programming.,"Dentistry, Ambassador",N/A
Deutschklub,"Deutschklub is established for the purpose of creating an open and friendly environment that promotes, develops and celebrates German language and culture on campus.",Cultural,N/A
Developer Student Club,"The purpose of DSC is to impact and empower students through understanding, using, and reflecting about technology. DSC will host information sessions, hands-on workshops, and student-community collaborative projects centered around the latest and greatest in technology, all with the support of Google and Google Developers.",Special Interests,N/A
Digital Arts Media Network,"Our organization represents the Art + Technology program within the College of Fine Arts. We seek to promote our artists, teach new skills, build professional relationships, and prepare for the work force post-graduation.","Fine Arts, Media/Publication",N/A
Disability Ambassadors,"The Disability Ambassadors are a diverse group of students working to promote accessibility, inclusivity, and empowerment of disability identity. The group works to promote disability as a valued aspect of diversity through student-led education and outreach efforts.",Ambassador,N/A
Disability Law Association,Disability Law Association is established for the purpose of creating an open and accessible environment for students to raise awareness of and advocate for disability rights in the Levin College of Law community and in society at large. Disability Law Association is for both students with and without disabilities interested in disability law and policy and aims to create and support a positive climate toward disability that values individual difference.,"Law, Political Interests",N/A
Disney Fan Club,"The purpose of Disney Fan Club is to bring people with similar interests together in a welcoming, wholesome environment where we can build valuable relationships and improve the general morale of the community.",Special Interests,N/A
Distinguished Minorities in Dentistry Mentorship Program,"Distinguished Minorities in Dentistry is established for the purpose of preparing quality underrepresented students for careers in dentistry through mentorship, professional development, and community service. Our organization has great interest in increasing the diversity of dentists entering the field. With our mentorship program, we plan to educate and guide members through college as well as the dental application process. We offer exclusive resources for members to maximize their potential as pre-dental students. Our intense selection process ensures that members of Distinguished Minorities in Dentistry Mentorship Program are highly competitive and committed to the field of dentistry. With these principles, our members will be undoubtedly prepared to be quality dental candidates and soon to be dental professionals.",Dentistry,N/A
Diversity Affirmations and Awareness Committee,The purpose of DAAC is to:,Social and Global Change,N/A
"Diversity Ambassadors of College of Design, Construction and Planning (DCP)","DCP DA primary purpose is to promote diversity and cross-cultural learning and interactions within the College of DCP and in communities within and beyond the University of Florida campus wherein people from various backgrounds can build a community by embracing their individual differences and feel safe. Our goal is to provide equal opportunities for people of all backgrounds. DCP DA will host a variety of events, meetings, and guest speaker series for members to engage with each other and the wider public.",Design/Construction/Planning,N/A
Diversity in Banking & Securities,"Diversity in Banking and Securities is established for the purpose of building a community of diverse UF students interested in pursuing internships and careers in Investment Banking, focusing on minority students who might not see the field as an option due to their backgrounds","Business, Professional/Career",N/A
Doctor of Plant Medicine Student Organization,"The University of Florida-IFAS, Doctor of Plant Medicine Student Organization (DPMSO) was established in 2000 to:",Agricultural and Life Sciences,N/A
Dominican Student Association,"The Dominican Student Association has been activate at the University of Florida for 20+ years. We strive to spread awareness of the Dominican culture while providing a safe space, full of fun for all interested! We aim to make a difference in the lives of not only Dominican people, but as many communities as possible. Our association contributes to the welfare of Dominican people; our most notable contribution thus far has been the distribution of 150 toys to children in Jaina, DR. Additionally, we host monthly General Body Meetings, social events, and have a full week of activities in the Spring to celebrate our Independence day. Join us!",Political Interests,N/A
Dostana,The purpose of Dostana is to entertain audiences all around the US by performing traditional Indian Bollywood style of dance. We hope to encourage diversity and spread awareness of our traditions by performing both on and off-campus.,Fine Arts,N/A
Doulos,"We are an organization focused on service. Specifically, we're focused on spiritual service of Greek Students (as well as any Student). Our vision is to build a spiritual legacy for Christ, building up those who have a personal relationship with Jesus and sharing Him with those who don't.",Religious/Spiritual,N/A
Down to Dance,"Down to Dance is established for the purpose of utilizing dance to help improve the cognitive functioning, motor skills and social inclusivity of children with down syndrome. This organization is based on arts and medicine research and will host monthly dance workshops with these children and participate in fundraising for in order to increase awareness and research of genetic disorders. We will be conducting these workshops and be affiliated with Gigi's Playhouse in Gainesville, FL.",Social and Global Change,N/A
Dream Team,"Dream Team is a student-run, non-profit organization that is dedicated to brightening the lives of the children in cardiac care at UF Health Shands Hospital.",Community/Volunteer Service,N/A
Dream Team Engineering,"Dream Team Engineering is a group of engineering and non-engineering students alike that are dedicated to making novel technologies to enhance the lives of pediatric patients at UF Health Shands. Our team works alongside physicians, nurses, child-life specialists, and PT/OT to create engineering devices to impact the patient experience. Dream Team Engineering is currently composed of five individual teams that are tasked with developing specific technologies that will be used in-hospital to improve the experience for patients at Shands.","Engineering, Cummunity/Volunteer Service",N/A
DreamWave Productions,"The purpose of DreamWave Productions is to create uniquely innovative short films, exploring the limits of what film can be in an environment where we challenge each other to grow as storytellers. We welcome individuals interested in all aspects of filmmaking, be it screenwriting, acting, editing, animating, cinematography, or directing, providing them with the tools and resources to tell the stories that truly matter.",Fine Arts,N/A
Early Childhood and Special Education Association of Doctoral Students,Early Childhood and Special Education Association of Doctoral Students is established to provide professional and social support and networking opportunities for doctoral students in the Early Childhood and Special Education programs.,"Education, Professional/Career",N/A
ECE Graduate Student Organization,The ECE Graduate Student Organization has been formed in Fall 2006 to serve as a forum for graduate students. The organization is open to all ECE graduate students.,"Engineering, Professional/Career",N/A
Ecuadorian Culture and Heritage Association,"The purpose of the Ecuadorian Culture and Heritage Association at the University of Florida is to bring undergraduate students at the University of Florida that are interested in learning about Ecuadorian culture, heritage, and history together and educate them on these topics through monthly informational meetings and cultural awareness events throughout the academic year. The organization will serve as a point of contact for all undergraduate Ecuadorian and non-Ecuadorian students who wish to engage in leadership opportunities and cultural partnerships with the Hispanic Student Association, its affiliates, and other organizations within the University of Florida. The organization will also serve as a way to bring to light important topics that need further discussion in the Ecuadorian context such as the status of Afro-Ecuadorians, Indigenous Ecuadorians, and LGBTQ+ Ecuadorians within Ecuador and how their lives are constantly affected within the culture of Ecuadorian society. The organization also aims to inform students of current political situations occurring in Ecuador as the nation undergoes changes and affects the lives of Ecuadorians both on the mainland, and abroad. This organization shall not be for-profit and shall be non-commercial in nature.",Cultural,N/A
Education College Council,To promote unity within the College of Education's many student organizations.,"Education, Professional/Career",N/A
Effective Altruism Florida,"Our mission is to spread awareness of effective altruism to facilitate giving pledge commitments and socially impactful career decisions from the UF community. Effective Altruism - Florida will aim to Inspire millions in donations over the lifetimes of a pre-professional population that collectively holds a multi-billion-dollar career earnings potential. Our core values will be generosity, education, and commitment; we will work towards providing aid to the world's most impactful charities, commit to a stated level of generosity for the rest of our lives, and continuously educate ourselves on best practices within effective altruism and the greater philanthropy landscape.",Social and Global Change Special Interests,N/A
Emergency Medicine Student Association,"The Emergency Medicine Interest Group (EMIG) aims to provide medical students with opportunities to learn about this exciting field. Such opportunities include lunch talks (food provided) given by board certified EM attending physicians, chances to meet and interact with attending physicians and residents, shadowing in the emergency department, research opportunities, and opportunities to network with physicians throughout the nation!","Medicine, Professional/Career",N/A
Emerging Leaders in Science Policy and Advocacy,The purpose of Emerging Leaders in Science Policy and Advocacy is to form a diverse community of scientists across the scientific disciplines in order to: ž˘ Engage the greater University scientific community on relevant policy initiatives ž˘ Foster constructive informed discussions about science policy ž˘ Participate in and promote advocacy for evidence-based policy ž˘ Propagate public scientific literacy and engagement through science communication,"Liberal Arts and Sciences, Professional/Career",N/A
Employer Relations Ambassadors,"The purpose of Employer Relations Ambassadors is to represent and support the Career Connections Center's Employer Relations team in outreach to students, faculty, employers and other recruiting representatives, as well as support event execution and employer information sessions. Ambassadors are committed to promoting a series of signature events put on each year by the Employer Relations team. Outreach will be performed locally and on campus, with an emphasis on branding, innovation, creativity and relationship building.",Ambassador,N/A
Empowered Female Health Organization,To create a community dedicated to fostering and furthering education about Women's sexual and reproductive health.,Social and Global Change,N/A
EMPRESS,"EMPRESS Interest Group is an Asian-Interest group at the University of Florida aiming to create a sisterhood based on strength without sacrificing one's individuality. We believe in Empowering, Motivating, Persevering, Respecting and Exemplifying Strength through Sisterhood.",Special Interests,N/A
Enactus Club,"Enactus is a social entrepreneurship organization composed of academic and business leaders committed to using the power of entrepreneurial action to transform lives and shape a better, more sustainable world. The organization will meet regularly to manage project operations, develop its members, and discuss new impact-oriented projects.",Business,N/A
Engineering Ambassadors,"The UF Engineering Ambassadors serve as the liaisons between the Herbert Wertheim College of Engineering and its students: past, current, and prospective. Through tours, information sessions, and annual outreach initiatives, we serve our college and community, embrace new and diverse perspectives, empower our members to become future industry leaders, and inspire the future of Gator Engineering.","Engineering, Ambassador",N/A
Engineering Graduate Student Council,"The Engineering Graduate Student Council (EGSC) is focused on improving the graduate experience within the University of Florida's Herbert Wertheim College of Engineering. Direct engagement with College officials ensures the student voice and perspective is most effectively represented as UF continues to rise. Through continuous interaction, the EGSC seeks to increase the quality of education delivered, workforce competence of graduating students, and the overall reputation of the University of Florida.",Engineering,N/A
Engineers Without Borders,Building a better world through engineering projects that empower communities to meet their basic human needs and equip leaders to solve the world's most pressing challenges.,"Engineering, Cummunity/Volunteer Service",N/A
English Graduate Organization,The purpose of the English Graduate Organization is to enhance academic resources available to the university by organizing academic events and serving as a pre-professional and social support group for English graduate students.,Liberal Arts and Sciences,N/A
English Society,"Exploring excellence for English majors, minors, and enthusiasts at the University of Florida.","Liberal Arts and Sciences, Special Interests",N/A
Entertainment & Sports Law Society,"Entertainment & Sports Law Society was established for the purpose of educating students of legal opportunities in the entertainment and sports business world, informing students about current issues in entertainment and sports law, networking with other similar law school and professional organization across the nation. Additionally, Entertainment & Sports Law Society advocates for the University of Florida Levin College of Law to provide more resources, courses, and programs for students interested in sports and entertainment law. Outside of the student body, Entertainment & Sports Law Society will network with UF Law Alumnus and other professionals in these fields of law for networking as well as internship and job opportunities.","Law, Professional/Career",N/A
Entrepreneurship Collective,"At the Entrepreneurship Collective, we serve as a connecting point between creative problem solvers and the tools/resources necessary to create new businesses. We provide a home for students interested in learning more about the startup community, connecting members with the Entrepreneurial community beyond the University.","Business, Professional/Career",N/A
ENVIRONMENTAL AND LAND USE LAW SOCIETY,"We seek to promote an understanding of the legal aspects of environmental protection, inform individuals as to the necessity for improvements in environmental protection, foster the development of sound environmental legislation, measure the effects of environmental litigation, and assist other groups involved in environmental education.","Law, Professional/Career",N/A
Environmental Horticulture Club,The primary purpose of this organization is to further the education and interests of its members in Environmental horticulture and related fields.,"Agricultural and Life Sciences, Professional/Career, Special Interests",N/A
Environmental Horticulture Graduate Student Association,"According to our constitution, It shall be the purpose of this association to further the education and interests of its members in Environmental Horticulture and its related fields.","Agricultural and Life Sciences, Professional/Career",N/A
EpiscoGator,"We are a student-led Episcopal ministry where Christian hospitality is put into practice and where students can associate with other students in friendly, open, and encouraging ways.",Religious/Spiritual,N/A
Epsilon Lambda Chi,"i. Recognize and distinguish outstanding leadership in the College of Engineering, ii. Provide a channel for unification among these leaders, and iii. Promote the general welfare of the various societies in the College of Engineering when it is deemed necessary by the active membership.",Engineering,N/A
Epsilon Pi Phi Gator Chapter,"The purpose of the society is to strive for the advancement, recognition, and reward of disaster/ emergency management, disaster research and science, homeland security, and business continuity as a discipline and profession and to encourage a high standard of excellence and partnerships in these related fields of practice and study. It will also serve as a means to connect individuals in the emergency management field providing a valid network for students and professionals to advance.",Professional/Career,N/A
Epsilon Sigma Alpha Service Fraternity,"To seek out and bring together those who wish to develop themselves and their world for the better. To join together these people in a supportive and effective organization. To aid those in need in every way possible. To play a significant role in identifying and solving community problems and to honor outstanding youth, and men and women who are contributing to our communities. To provide the kind of organization in which each member is able to discover their own unique capabilities.",Community/Volunteer Service,N/A
Equal Access Clinic Network,"The Equal Access Clinic is a network of student-run free clinics that strives to provide quality comprehensive healthcare For all. Our vision is to improve the physical, mental and social well-being of all, by enhancing access to high-quality, comprehensive, patient-centered care and by facilitating community-level action.","Community/Volunteer Service, Professional/Career",N/A
"Equity, Diversity, and Inclusion in Sustainability","Equity, Diversity, and Inclusion in Sustainability (EDIS) aims to bridge the gap between those who enact change in the field of sustainability and the communities who feel the impacts of their decisions. We will do this by providing an inclusive environment for diverse and thoughtful discussion to help expand the knowledge of budding sustainability change-makers. We will also act as a platform to amplify the voices of marginalized and underrepresented communities. Our mission is to educate others on sustainability and service affected communities in the fight to ensure that the benefits of any future changes are shared equitably. To fulfill this mission, we will be working with upcoming community rejuvenation projects in the city of Gainesville as well as meeting with sustainability professors to help diversify their courses.",Social and Global Change,N/A
Eta Kappa Nu,"We are the University of Florida's branch of Eta Kappa Nu. We have a long history of serving the ECE department at UF. Events we have sponsored historically include student/professor luncheons and the ECE banquet. We are currently helping the department by offering exam reviews for all core EE, CE, and CS classes as well as contributing to the redesign of the ECE curriculum. We are also contributing to our community by conducting Electrical and Computer Engineering outreach events for local public schools",Engineering,N/A
Eta Sigma Gamma,"Eta Sigma Gamma is a national health education honorary that promotes the professional development of health education students while upholding the ideals of teaching, service, and research. The Alpha Lambda Chapter at the University of Florida strives for health promotion on campus and in the Gainesville community.",Professional/Career,N/A
Eta Sigma Phi,"Eta Sigma Phi is a Honorary Greek Letter Society of undergraduate students, whose purposes are: a) To develop and promote interest in classical study among the students of colleges and universities. b) To promote close relationships among students who are interested in classical study, including inter-campus relationships. c) To engage generally in an effort to stimulate interest in classical study, and in the languages, literature, history, and art of ancient Greece and Rome",Liberal Arts and Sciences,N/A
Ethnoecology Society,"The Ethnoecology Society seeks to understand and educate about the human dimensions of ecology by exploring people's interaction with living permaculture, local and global multi-crop gardening systems, and the principles of community gardening. We achieve this task through experiential work in the Ethnoecology Garden, and through informational talks and workshops focused on the relationships between plants and people.","Public Health and Health Professions, Professional/Career",N/A
European Union Club,"European Union Club was established for the purpose of increasing the knowledge of University students about European Union as an institution, European Union member states and international relations, and providing students with a sense of community centered on their interests.","Political Interests, Special Interests",N/A
Everglades Research and Education Center Student Association,"Everglades Research and Education Center Student Association is established for the purpose of professional and academic development, to encourage communication and friendship across academic disciplines, and to provide new and experienced students at the EREC with a resource for acquainting oneself with the Center and University's work atmosphere, the south Florida region, and student life in general. It is also a means for inculcating leadership roles and responsibilities in student members. To encourage community oriented activities such as, volunteering at local schools.",Agricultural and Life Sciences,N/A
Exotic Animal Club,"EAC is established for the purpose of providing an opportunity for students interested in zoo, wildlife, and exotic animals to gain knowledge and experience with these species. This will be achieved by scheduling speakers representing the diverse areas of zoo, aquarium, avian, wildlife, and exotic animals, and arranging field trips to local facilities dealing with these species. The activities of this club will also include exposure to zoology, veterinary medicine, and exotic animal rescues.",Special Interests,N/A
Extreme Dance Company,Dance organization wishing to bring together people who love dance and want a loving atmosphere to grow together. Our purpose is to be a place of unity where one can express themselves through dance and meet new friends.,"Fine Arts, Recreation",N/A
F.E.M. Films,"The purpose of F.E.M. Films is to create a safe environment for female producers to feel empowered and create noteworthy productions in the entertainment industry. Our goal is to create a healthy environment of likeminded creatives to assist each other in their portfolios/reels, and build a network to lean on after graduation.","Fine Arts, Journalism and Communications, Social and Global Change",N/A
"FACES Modeling Troupe, Inc.","The purpose of this modeling organization is to introduce the many aspects of the modeling industry using specialized photography, innovative fashion, unique runway modeling techniques and mechanics, community service, and health awareness for its members and the surrounding community; striving to enhance each individual's knowledge of a professional modeling experience.",Special Interests,N/A
"Family, Youth and Community Sciences Graduate Association","The purpose of the Family, Youth and Community Sciences Graduate Association shall be to enhance educational goals, assist in the transition from student to professional, promote the social cohesiveness of the graduate students in the Family, Youth and Community Sciences department, and provide an interaction between the graduate students of the Family, Youth and Community Sciences department and the University of Florida and surrounding communities.","Agricultural and Life Sciences, Professional/Career",N/A
"Family, Youth, and Community Sciences Club","To provide all students with the opportunity to apply their knowledge and skills through networking, service, and social activities.","Agricultural and Life Sciences, Political Interests, Professional/Career",N/A
Federalist Society,"The Federalist Society for Law and Public Policy Studies is a group of conservatives and libertarians interested in the current state of the legal order. It is founded on the principles that the state exists to preserve freedom, that the separation of governmental powers is central to our Constitution, and that it is emphatically the province and duty of the judiciary to say what the law is, not what it should be. The Society seeks both to promote an awareness of these principles and to further their application through its activities.",Political Interests,N/A
Fellows of Chemical Biology,"The purpose of Fellows of Chemical Biology shall be to enhance the cohesiveness of the Chemical Biology division at the University of Florida by promoting intellectual collaboration and sustaining active, dynamic interactions between undergraduate students, graduate students, and faculty.",Liberal Arts and Sciences,N/A
Fellowship of Christian Athletes,"The Mission of UF FCA is spreading the Gospel to Univerisity of Florida students through active participation in church and sports. We want to equip people with knowledge of Scripture, encourage them to join a local church, and empower them to live Christ-centered lives in the college environment.",Religious/Spiritual,N/A
